t,src,I,Tr
1993.7999999999874,990627.8072995237,14931.516325455208,0.0
1993.8399999999874,1003863.6842134953,15339.003391816485,0.0
1993.8799999999874,1017275.55837638,15757.488935414289,0.0
1993.9199999999873,1030865.7472563314,16187.266452709715,0.0
1993.9599999999873,1044636.5982306608,16628.637180426445,0.0
1993.9999999999873,1058590.4889557252,17081.910297205617,0.0
1994.0399999999872,1072729.8277409566,17547.403130448278,0.0
1994.0799999999872,1087057.053927069,18025.441368477106,0.0
1994.1199999999872,1101574.6382684768,18516.359278152446,0.0
1994.1599999999871,1116285.0833199578,19020.49992808099,0.0
1994.199999999987,1131190.9238275972,19538.215417559022,0.0
1994.239999999987,1146294.727124044,20069.867111395553,0.0
1994.279999999987,1161599.0935281168,20615.82588076442,0.0
1994.319999999987,1177106.65674879,21176.47235023811,0.0
1994.359999999987,1192820.0842935953,21752.197151159868,0.0
1994.399999999987,1208742.0778814715,22343.401181514597,0.0
1994.4399999999869,1224875.373860097,22950.49587246302,0.0
1994.4799999999868,1241222.743627736,23573.903461707745,0.0
1994.5199999999868,1257786.9940596328,24214.05727386401,0.0
1994.5599999999868,1274570.9679389857,24871.402008012265,0.0
1994.5999999999867,1291577.5443925334,25546.394032614076,0.0
1994.6399999999867,1308809.6393307853,26239.501687977518,0.0
1994.6799999999866,1326270.2058929272,26951.20559646262,0.0
1994.7199999999866,1343962.2348964342,27681.99898062247,0.0
1994.7599999999866,1361888.7552914207,28432.387989480165,0.0
1994.7999999999865,1380052.8346197587,29202.892033147025,0.0
1994.8399999999865,1398457.5794789945,29994.04412599242,0.0
1994.8799999999865,1417106.1359910923,30806.39123858088,0.0
1994.9199999999864,1436001.6902760349,31640.494658597556,0.0
1994.9599999999864,1455147.468930309,32496.930360988452,0.0
1994.9999999999864,1474546.7395103045,33376.28938754766,0.0
1995.0399999999863,1494203.305193103,33969.81021331231,306.24050299807743
1995.0799999999863,1514121.5501000078,34511.34715963093,678.864901091674
1995.1199999999862,1534304.9519161219,35061.57637044101,1057.4291116350605
1995.1599999999862,1554757.0344578538,35620.63830434577,1442.028467898213
1995.1999999999862,1575481.368270277,36188.67570458766,1832.7598435288824
1995.2399999999861,1596481.571245077,36765.833636449664,2229.721677605857
1995.279999999986,1617761.3092466388,37352.259525272755,2633.014000102336
1995.319999999986,1639324.2967463864,37948.10319509972,3042.7384577661674
1995.359999999986,1661174.2974654783,38553.51690795581,3458.9983404238246
1995.399999999986,1683315.1250259702,39168.65540377666,3881.8986077150967
1995.439999999986,1705750.643610557,39793.675940994326,4311.545916265593
1995.479999999986,1728484.768631005,40428.73833779227,4748.04864730428
1995.5199999999859,1751521.467405387,41074.00501404042,5191.516934733377
1995.5599999999858,1774864.759844241,41729.641033921616,5642.0626936580775
1995.5999999999858,1798518.7191457625,42395.81414926082,6099.799649383671
1995.6399999999858,1822487.4725001538,43072.69484356887,6564.843366887767
1995.6799999999857,1846775.2018032486,43760.45637681254,7037.311280775466
1995.7199999999857,1871386.1443795334,44459.274830922994,7517.322725725431
1995.7599999999857,1896324.5937146887,45169.3291560549,8004.99896743496
1995.7999999999856,1921594.9001977758,45890.80121760861,8500.46323407229
1995.8399999999856,1947201.4718731937,46623.87584402818,9003.840748244495
1995.8799999999856,1973148.775202536,47368.74087538795,9515.258759489496
1995.9199999999855,1999441.3358364764,48125.587212780934,10034.846577300805
1995.9599999999855,2026083.7393968147,48894.60886852224,10562.735604693828
1995.9999999999854,2053080.632268815,49676.00301718108,11099.059372322627
1996.0399999999854,2080436.7224039738,50469.9700474551,11643.953573156261
1996.0799999999854,2108156.780133351,51276.71361490112,12197.556097723906
1996.1199999999853,2136245.638991605,52096.44069553635,12760.007069938176
1996.1599999999853,2164708.19655187,52929.3616403247,13331.448883506166
1996.1999999999853,2193549.4152716193,53775.69023056278,13912.026238937931
1996.2399999999852,2222774.3233496565,54635.64373418059,14501.88618116227
1996.2799999999852,2252388.0155943823,55509.44296297207,15101.178137759829
1996.3199999999852,2282395.6543034813,56397.312330771034,15710.053957823731
1996.3599999999851,2312802.470155184,57299.47991258807,16328.667951458096
1996.399999999985,2343613.7631112477,58216.1775047245,16957.17692992498
1996.439999999985,2374834.903331815,59147.64068587962,17595.74024645045
1996.479999999985,2406471.332102306,60094.10887926763,18244.519837700696
1996.519999999985,2438528.562772499,61055.825415761225,18903.680265939238
1996.559999999985,2471012.1817079554,62033.037598078736,19573.388761876457
1996.599999999985,2503927.8492539614,63025.99676603231,20253.81526822297
1996.6399999999849,2537281.300712138,64034.95836285469,20945.132483958398
1996.6799999999848,2571078.3473298945,65060.18200262259,21647.51590932739
1996.7199999999848,2605324.8773028865,66101.93153879486,22361.14389157495
1996.7599999999848,2640026.8567906506,67160.47513388406,23086.197671433216
1996.7999999999847,2675190.3309455924,68236.08533028021,23822.86143037222
1996.8399999999847,2710821.424955495,69329.03912224594,24571.32233862716
1996.8799999999846,2746926.345099732,70439.61802910255,25331.770604015095
1996.9199999999846,2783511.3798193545,71568.10816962678,26104.3995215541
1996.9599999999846,2820582.900801248,72714.80033767839,26889.40552389814
1996.9999999999845,2858147.364076526,73879.99007907917,27686.988232601172
1997.0399999999845,2896211.3111333605,75063.97776976407,28497.350510224216
1997.0799999999845,2934781.3700444303,76267.06869522571,29320.698513299285
